player,average,strike_rate,balls_per_boundary,boundary_to_dot_ratio,balls_per_dismissal,form_index,consistency,recent_mean,recent_std,next_match_runs
IR Jaggi,15.2,78.35,16.17,0.12,19.4,12.36,0.0,9.6,9.604165762834374,28
Imran Tahir,8.25,89.19,7.4,0.24,9.25,5.74,0.0,4.6,4.498888751680797,13
IS Sodhi,3.5,41.18,0.0,0.0,8.5,2.06,0.0,3.5,2.5,6
Ishan Kishan,29.68,137.65,5.16,0.51,21.56,49.34,37.5,43.0,27.429910681589906,29
Iqbal Abdulla,88.0,104.76,8.4,0.29,84.0,12.6,7.69,12.4,12.338557452149745,5
J Arunkumar,7.67,100.0,4.6,0.33,7.67,5.1,0.0,7.666666666666667,10.143416036468626,0
J Botha,20.45,113.93,8.16,0.33,17.95,11.94,14.29,11.0,8.508818954473059,2
J Fraser-McGurk,27.5,199.48,2.8,0.83,13.79,9.56,33.33,10.8,14.076931483814219,9
J Overton,15.0,214.29,3.5,1.0,0.0,4.06,0.0,7.5,3.5,4
J Syed Mohammad,14.5,111.54,6.5,0.4,13.0,6.02,0.0,5.8,4.534313619501853,9
J Theron,5.0,83.33,12.0,0.2,6.0,2.56,0.0,2.5,2.692582403567252,1
J Suchith,17.5,114.75,6.78,0.31,15.25,4.82,11.11,4.6,5.122499389946279,0
JA Morkel,25.66,141.92,5.92,0.51,18.08,21.26,10.29,20.6,26.657831869827675,16
J Yadav,20.0,111.11,12.0,0.25,18.0,10.56,0.0,10.0,8.306623862918075,11
JA Richardson,5.67,65.38,13.0,0.12,8.67,4.5,0.0,5.666666666666667,6.649979114420001,2
JC Archer,14.56,147.19,5.56,0.51,9.89,12.12,3.33,9.2,11.285388783732708,12
JC Buttler,40.8,149.31,4.65,0.59,27.33,35.2,42.5,36.4,19.925862591115095,5
JD Unadkat,15.15,118.67,7.22,0.35,12.77,5.0,0.0,4.8,2.3151673805580453,4
JD Ryder,22.37,131.88,5.2,0.46,16.96,10.1,27.59,7.8,7.884161337770808,22
JDP Oram,13.25,98.15,9.82,0.23,13.5,7.48,9.09,6.8,6.144916598294887,0
JDS Neesham,11.5,98.92,11.62,0.2,11.62,8.9,0.0,6.6,7.364781055808788,14
JE Root,10.0,66.67,15.0,0.12,15.0,3.0,0.0,10.0,0.0,10
JE Taylor,3.0,100.0,0.0,0.0,0.0,0.82,0.0,1.5,0.5,1
JEC Franklin,29.73,108.64,8.85,0.29,27.36,10.7,18.75,10.6,8.979977728257458,13
JH Kallis,29.24,109.23,7.43,0.33,26.77,14.54,35.79,15.8,13.905394636614956,10
JG Bethell,33.5,171.79,3.25,0.86,19.5,19.62,50.0,33.5,21.5,55
JJ Bumrah,11.33,86.08,13.17,0.17,13.17,2.28,0.0,2.4,2.8705400188814645,0
JJ Roy,32.32,138.6,4.61,0.53,23.32,28.46,47.62,25.0,14.057026712644463,45
JJ van der Wath,9.0,112.5,8.0,0.29,8.0,4.84,0.0,6.0,5.887840577551898,4
JM Bairstow,35.62,146.07,4.64,0.56,24.38,32.54,46.15,26.6,14.759403781996074,38
JL Denly,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
JL Pattinson,15.0,115.38,6.5,0.5,13.0,4.06,0.0,7.5,3.5,4
JM Sharma,25.41,157.05,4.54,0.62,16.18,38.64,23.4,32.0,27.22498852157701,24
JM Kemp,13.0,108.33,12.0,0.2,12.0,6.92,0.0,13.0,9.0,4
JO Holder,12.33,122.75,6.81,0.34,10.05,3.84,3.7,2.8,4.1182520563948,11
JP Behrendorff,6.0,66.67,0.0,0.0,0.0,1.68,0.0,3.0,0.0,3
JP Duminy,42.27,124.02,7.98,0.4,34.08,17.4,36.0,15.2,4.664761515876241,13
JP Faulkner,20.27,135.13,6.61,0.46,15.0,10.28,13.04,10.0,6.899275324264136,8
JP Inglis,30.89,162.57,4.07,0.67,19.0,40.08,45.45,37.2,21.97635092548351,39
JPR Scantlebury-Searles,8.0,133.33,6.0,0.33,6.0,2.16,0.0,4.0,2.0,2
JR Hazlewood,19.0,65.52,29.0,0.07,0.0,1.74,0.0,1.8,2.638181191654584,0
JR Hopes,26.06,136.27,5.1,0.54,19.12,22.84,21.05,22.4,17.568153004798198,7
JR Philippe,19.5,101.3,7.7,0.29,19.25,19.32,40.0,15.6,14.430523206037957,12
Jaskaran Singh,8.0,72.73,0.0,0.0,11.0,1.64,0.0,2.0,1.5811388300841898,0
Joginder Sharma,9.0,120.0,10.0,0.3,7.5,7.44,0.0,7.2,7.332121111929345,0
K Goel,16.77,94.37,8.88,0.21,17.77,11.78,6.25,10.6,8.064738061462382,1
K Gowtham,13.72,166.89,4.62,0.63,8.22,7.96,3.7,7.6,8.56971411425142,2
K Kartikeya,4.0,70.59,17.0,0.11,5.67,2.72,0.0,3.0,1.8708286933869707,2
K Rabada,13.44,106.97,8.04,0.27,12.56,6.14,3.33,5.8,3.7629775444453557,2
K Upadhyay,12.0,133.33,9.0,0.33,0.0,3.16,0.0,6.0,5.0,1
K Yadav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KA Jamieson,21.67,108.33,7.5,0.27,20.0,3.4,0.0,4.4,5.986651818838307,0
KA Maharaj,1.0,50.0,0.0,0.0,2.0,0.3,0.0,1.0,0.0,1
KA Pollard,28.64,147.57,5.23,0.52,19.41,13.12,20.93,12.4,5.083306010855534,15
KAJ Roach,10.0,111.11,9.0,0.33,9.0,3.0,0.0,10.0,0.0,10
KB Arun Karthik,10.2,100.0,10.2,0.23,10.2,8.66,0.0,8.2,6.615134163416491,12
KC Cariappa,8.0,114.29,10.5,0.25,7.0,5.48,0.0,4.8,4.749736834815167,9
KC Sangakkara,25.95,121.19,6.27,0.43,21.42,8.6,33.82,7.6,7.002856560004639,3
KD Karthik,27.67,135.28,5.71,0.51,20.46,13.12,27.23,12.8,7.249827584156743,11
KH Pandya,22.81,132.43,6.08,0.45,17.22,22.04,18.42,20.8,26.72377218882095,4
KJ Abbott,13.0,162.5,8.0,0.33,8.0,2.94,0.0,4.333333333333333,5.436502143433364,1
KK Ahmed,0.4,22.22,0.0,0.0,1.8,0.48,0.0,0.4,0.48989794855663565,1
KK Cooper,12.89,170.59,4.0,0.63,7.56,13.3,8.33,13.8,12.592060990957755,2
KK Nair,24.91,131.73,5.5,0.48,18.91,19.32,30.26,15.6,15.396103403134182,44
KL Rahul,46.74,136.04,5.82,0.51,34.36,40.78,48.55,35.0,39.78441906073281,35
KL Nagarkoti,5.5,66.67,33.0,0.06,8.25,2.3,0.0,2.2,2.4,0
KM Jadhav,23.69,123.14,6.91,0.41,19.24,12.48,13.58,11.6,5.083306010855534,12
KM Asif,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
KMA Paul,4.5,75.0,12.0,0.13,6.0,4.16,0.0,3.6,2.33238075793812,3
KMDN Kulasekara,5.0,166.67,3.0,1.0,0.0,1.5,0.0,5.0,0.0,5
KP Appanna,2.0,50.0,0.0,0.0,4.0,0.56,0.0,0.6666666666666666,0.4714045207910317,1
KP Pietersen,37.07,134.72,5.67,0.48,27.52,23.94,41.67,26.2,19.833305322109073,0
KR Mayers,29.15,144.11,4.38,0.47,20.23,19.0,38.46,16.4,17.22324011328879,18
KR Sen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KS Bharat,28.43,122.09,8.15,0.35,23.29,19.78,37.5,21.4,28.5769137591868,0
KS Rathore,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0
KS Sharma,5.33,64.0,25.0,0.08,8.33,4.12,0.0,5.333333333333333,2.6246692913372702,3
KS Williamson,36.76,125.63,6.76,0.43,29.26,11.0,36.36,9.6,8.685620300243384,1
KT Maphaka,8.0,400.0,1.0,0.0,0.0,2.4,0.0,8.0,0.0,8
KW Richardson,12.0,92.31,13.0,0.18,13.0,7.0,0.0,9.0,10.222524150130436,1
KV Sharma,14.67,119.32,7.97,0.33,12.29,6.8,5.0,6.8,6.8527366796047255,1
Kamran Akmal,32.0,164.1,3.71,0.64,19.5,23.22,16.67,22.6,16.3413585726524,6
Kamran Khan,3.0,60.0,0.0,0.0,5.0,0.9,0.0,3.0,0.0,3
Kartik Tyagi,3.25,81.25,16.0,0.14,4.0,2.5,0.0,2.2,2.4819347291981715,0
Karanveer Singh,12.0,70.59,17.0,0.11,17.0,3.0,0.0,3.0,1.5811388300841898,4
Kuldeep Yadav,16.75,86.64,11.05,0.18,19.33,4.12,2.7,3.6,2.33238075793812,7
Kumar Kushagra,1.0,42.86,0.0,0.0,2.33,0.86,0.0,1.0,0.816496580927726,2
L Ablish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
L Ngidi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
L Balaji,5.14,73.47,16.33,0.11,7.0,2.34,0.0,2.6,3.3823069050575527,1
L Ronchi,11.33,100.0,4.86,0.3,11.33,7.28,0.0,6.8,5.035871324805669,0
L Wood,9.0,300.0,3.0,0.0,0.0,2.7,0.0,9.0,0.0,9
LA Carseldine,27.0,119.12,6.18,0.39,22.67,15.06,20.0,16.2,11.754148203932091,8
LA Pomersbach,30.2,122.76,6.47,0.37,24.6,16.6,18.75,12.8,11.513470371699404,33
LB Williams,1.0,50.0,0.0,0.0,0.0,0.3,0.0,1.0,0.0,1
LH Ferguson,24.0,153.19,5.22,0.75,15.67,5.08,0.0,5.6,6.468384651518492,4
LE Plunkett,1.0,33.33,0.0,0.0,3.0,0.3,0.0,0.5,0.5,1
LJ Wright,26.5,176.67,3.16,1.0,15.0,23.92,40.0,21.2,15.866946776238963,44
LMP Simmons,41.5,126.64,5.57,0.41,32.77,11.04,58.62,14.0,22.556595487794695,3
LPC Silva,20.0,153.85,4.33,0.67,13.0,9.72,0.0,13.333333333333334,9.741092797468305,0
LS Livingstone,26.95,158.76,4.57,0.64,16.97,9.1,25.53,6.6,9.372299611087985,25
LRPL Taylor,26.76,123.72,7.34,0.36,21.63,12.94,20.37,13.4,14.853955702101715,4
LR Shukla,15.0,115.71,7.14,0.34,12.96,9.36,9.09,6.8,7.934733769950949,21
Lalit Yadav,20.33,105.17,8.53,0.29,19.33,6.92,14.29,6.4,3.1368774282716245,7
Liton Das,4.0,100.0,4.0,0.33,4.0,1.2,0.0,4.0,0.0,4
M Ashwin,4.38,70.0,16.67,0.11,6.25,3.9,0.0,4.2,3.6000000000000005,0
M Jansen,12.82,109.3,9.21,0.28,11.73,6.34,5.0,6.6,9.308061022576076,0
M Kaif,16.19,103.6,8.93,0.25,15.62,13.06,9.09,11.0,4.774934554525329,14
M Kartik,18.83,104.63,13.5,0.26,18.0,4.96,0.0,5.6,4.963869458396343,0
M Klinger,18.25,94.81,8.56,0.26,19.25,19.06,0.0,18.25,10.158124826955023,24
M Markande,16.0,114.29,7.0,0.33,14.0,7.6,0.0,6.0,6.2289646009589745,18
M Manhas,22.35,109.36,8.87,0.29,20.43,6.66,13.16,7.0,4.427188724235731,1
M Morkel,12.6,140.0,5.62,0.5,9.0,4.04,0.0,4.4,4.586937976471886,1
M Muralitharan,3.33,66.67,30.0,0.06,5.0,2.98,0.0,2.6,2.4166091947189146,0
M Ntini,11.0,61.11,9.0,0.14,18.0,2.86,0.0,5.5,5.5,0
M Prasidh Krishna,4.5,37.5,0.0,0.0,12.0,1.92,0.0,1.6,1.4966629547095767,2
M Rawat,11.0,79.71,13.8,0.15,13.8,5.46,0.0,4.6,1.9595917942265424,5
M Shahrukh Khan,23.61,149.08,5.11,0.55,15.84,23.3,12.5,20.2,19.030501832584445,13
M Theekshana,5.67,50.0,34.0,0.05,11.33,2.52,0.0,2.0,1.6733200530681511,2
M Vijay,28.16,121.87,6.36,0.36,23.11,18.68,34.29,19.2,12.796874618437114,10
M Tiwari,3.0,75.0,0.0,0.0,4.0,0.9,0.0,3.0,0.0,3
M Vohra,23.04,130.64,5.64,0.41,17.64,13.26,29.41,11.8,4.261455150532504,10
M de Lange,1.0,50.0,0.0,0.0,2.0,0.3,0.0,1.0,0.0,1
MA Agarwal,23.62,133.79,5.51,0.49,17.66,23.84,26.19,20.0,12.361229712289955,24
MA Khote,12.0,109.09,7.33,0.3,11.0,6.16,0.0,8.0,0.816496580927726,7
MA Starc,11.1,93.28,10.82,0.22,11.9,1.2,0.0,1.2,0.7483314773547883,1
MA Wood,6.0,150.0,4.0,0.5,4.0,3.12,0.0,4.0,4.242640687119285,1
MC Juneja,17.86,97.66,10.67,0.25,18.29,18.02,14.29,19.4,15.704776343520464,14
MC Henriques,27.78,126.9,6.85,0.42,21.89,7.54,22.22,7.0,4.979959839195493,3
MD Mishra,15.8,113.94,6.5,0.33,13.87,6.84,11.76,6.8,3.54400902933387,4
MD Shanaka,13.0,100.0,8.67,0.25,13.0,7.08,0.0,8.666666666666666,6.944222218666553,17
MDKJ Perera,7.0,107.69,4.33,0.38,6.5,3.64,0.0,7.0,7.0,0
MEK Hussey,40.35,122.64,6.45,0.41,32.9,24.92,48.28,23.2,21.160340261914502,4
MF Maharoof,17.7,143.9,5.86,0.49,12.3,9.38,7.14,9.8,11.249888888340186,0
MG Bracewell,29.0,123.4,6.71,0.47,23.5,14.24,0.0,14.5,8.558621384311845,26
MG Johnson,12.85,101.83,9.65,0.22,12.62,8.9,0.0,7.4,4.586937976471886,12
MJ Guptill,22.58,137.56,5.05,0.44,16.42,21.52,35.71,16.4,14.677874505527019,36
MJ Clarke,16.33,104.26,7.83,0.29,15.67,12.94,16.67,11.4,5.314132102234569,13
MJ Lumb,27.8,143.3,3.8,0.55,19.4,21.14,41.67,23.0,30.377623343507306,0
MJ McClenaghan,7.73,121.43,5.83,0.33,6.36,3.56,0.0,4.4,5.0039984012787215,0
MJ Owen,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
MJ Santner,13.75,105.77,8.67,0.26,13.0,1.34,0.0,1.8,3.124099870362662,0
MJ Suthar,1.0,50.0,0.0,0.0,2.0,0.3,0.0,1.0,0.0,1
MK Lomror,18.17,141.29,5.92,0.53,12.86,13.44,20.0,10.4,11.84229707446997,32
MK Pandey,29.93,121.64,7.12,0.39,24.61,32.2,33.33,26.8,15.484185480676729,37
MK Tiwary,29.74,116.98,7.39,0.37,25.42,14.24,30.12,10.8,12.302845199383759,35
ML Hayden,39.54,137.34,4.88,0.49,28.79,8.46,51.52,6.2,6.11228271597445,17
MM Ali,22.88,139.76,5.15,0.5,16.37,15.96,25.42,17.6,20.005999100269896,0
MM Patel,7.8,95.12,8.2,0.28,8.2,1.04,0.0,1.2,1.4696938456699067,0
MM Sharma,7.35,91.91,10.46,0.19,8.0,0.62,0.0,0.6,0.7999999999999999,0
MN Samuels,14.64,93.6,10.75,0.19,15.64,7.84,14.29,6.4,10.34601372510205,0
MN van Wyk,55.67,126.52,6.6,0.49,44.0,34.98,60.0,33.4,24.88051446413438,0
MP Breetzke,14.0,116.67,6.0,0.29,12.0,4.2,0.0,14.0,0.0,14
MP Stoinis,28.54,144.71,5.3,0.55,19.72,18.06,23.23,18.6,15.14727698300919,6
MS Bhandage,1.0,25.0,0.0,0.0,4.0,0.3,0.0,1.0,0.0,1
MR Marsh,29.36,142.92,5.05,0.52,20.55,69.58,34.69,56.6,38.836065712170175,67
MS Bisla,22.17,113.68,6.05,0.34,19.5,13.8,15.38,11.2,7.704544113703289,17
MS Dhoni,39.13,137.45,6.19,0.48,28.47,14.68,28.22,12.4,3.9293765408777004,16
MS Gony,11.0,139.44,5.07,0.41,7.89,9.02,6.67,9.8,16.17899873292535,3
MS Wade,14.08,103.39,7.08,0.29,13.62,16.66,14.29,16.6,10.8,4
MV Boucher,28.14,127.51,6.87,0.42,22.07,4.72,26.09,4.8,3.4871191548325386,1
MW Short,19.5,127.17,4.84,0.42,15.33,23.88,33.33,23.2,11.617228585166083,27
Mandeep Singh,21.32,122.91,6.49,0.41,17.35,6.56,18.56,6.4,7.310266752998827,12
Mashrafe Mortaza,2.0,100.0,0.0,0.0,0.0,0.6,0.0,2.0,0.0,2
Mayank Dagar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Misbah-ul-Haq,16.71,144.44,5.06,0.53,11.57,18.18,25.0,17.0,19.677398201998148,0
Mohammad Ashraful,2.0,20.0,0.0,0.0,10.0,0.6,0.0,2.0,0.0,2
Mohammad Asif,1.5,50.0,0.0,0.0,3.0,0.9,0.0,1.5,1.5,3
Mohammad Hafeez,9.14,77.11,9.22,0.18,11.86,6.48,0.0,6.0,3.7416573867739413,4
Mohammad Nabi,13.81,145.39,5.07,0.55,9.5,7.74,5.0,7.0,8.366600265340756,1
Mohammed Shami,6.0,94.38,9.89,0.21,6.36,3.42,0.0,3.0,2.0976176963403033,6
Mohammed Siraj,12.44,91.06,8.79,0.21,13.67,5.46,0.0,5.0,4.69041575982343,3
Mohit Rathee,1.0,50.0,0.0,0.0,0.0,0.3,0.0,1.0,0.0,1
Mohsin Khan,12.5,104.17,8.0,0.25,12.0,4.58,0.0,5.0,5.0990195135927845,2
Mujeeb Ur Rahman,4.0,80.0,7.5,0.22,5.0,1.96,0.0,2.4,3.826225293941798,1
Mukesh Choudhary,6.0,100.0,6.0,0.33,0.0,1.72,0.0,3.0,1.0,4
Mukesh Kumar,10.0,55.56,0.0,0.0,18.0,2.4,0.0,2.0,2.280350850198276,3
Musheer Khan,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0
Mustafizur Rahman,6.5,54.17,24.0,0.06,12.0,2.04,0.0,2.4,3.0066592756745814,0
N Jagadeesan,18.0,110.2,6.39,0.35,16.33,17.98,30.0,16.6,14.207040508142432,19
N Pooran,34.74,168.73,4.18,0.71,20.59,33.22,42.05,29.4,18.83188785013335,13
N Rana,27.97,136.77,5.19,0.49,20.45,18.48,33.04,20.0,17.58408371226661,9
N Saini,14.0,99.29,8.81,0.24,14.1,5.5,20.0,4.6,5.238320341483519,1
N Wadhera,27.65,142.94,5.08,0.53,19.35,21.34,32.26,17.8,15.929846201391902,15
ND Doshi,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0
NJ Maddinson,6.67,95.24,5.25,0.27,7.0,5.2,0.0,6.666666666666667,3.7712361663282534,4
NJ Rimmington,1.0,100.0,0.0,0.0,0.0,0.3,0.0,1.0,0.0,1
NK Patel,30.25,101.68,7.93,0.27,29.75,21.54,33.33,23.4,21.574058496258882,14
NL McCullum,26.0,118.18,22.0,0.14,22.0,7.2,0.0,13.0,2.0,11
NM Coulter-Nile,8.2,113.89,6.55,0.31,7.2,4.84,0.0,6.0,9.033271832508971,1
NLTC Perera,19.27,137.22,6.31,0.44,14.05,18.5,16.13,16.2,3.655133376499413,23
NS Naik,7.75,62.0,25.0,0.07,12.5,6.3,0.0,7.75,8.584142356694699,1
NT Ellis,4.75,76.0,25.0,0.08,6.25,3.06,0.0,3.8,4.66476151587624,1
NV Ojha,21.58,118.35,6.57,0.33,18.24,14.1,11.7,14.2,11.01635148313633,1
Naman Dhir,28.0,180.65,3.62,0.92,15.5,23.14,26.32,19.4,10.892199043352083,37
Navdeep Saini,8.25,89.19,12.33,0.19,9.25,6.1,0.0,6.2,3.919183588453085,2
Naveen-ul-Haq,18.0,72.0,12.5,0.13,25.0,3.64,0.0,4.5,4.924428900898052,2
Nithish Kumar Reddy,28.53,132.88,6.52,0.45,21.47,10.82,31.82,10.2,8.084553172563094,4
Noor Ahmad,2.5,57.14,17.5,0.09,4.38,1.62,0.0,1.4,0.8,2
OA Shah,42.17,130.08,6.82,0.43,32.42,19.22,27.27,17.0,11.966620241321273,24
OC McCoy,8.0,160.0,5.0,0.5,0.0,2.4,0.0,8.0,0.0,8
OF Smith,17.0,115.91,7.33,0.26,14.67,5.96,0.0,5.2,4.995998398718719,13
P Awana,2.5,35.71,0.0,0.0,7.0,0.74,0.0,1.0,1.5491933384829668,0
P Chopra,8.0,133.33,3.0,0.5,6.0,2.4,0.0,8.0,0.0,8
P Dogra,15.88,92.03,15.33,0.15,17.25,5.8,8.33,5.6,1.624807680927192,5
P Dubey,23.0,69.7,16.5,0.12,33.0,6.62,0.0,11.5,4.5,16
P Kumar,10.0,108.28,8.05,0.26,9.24,3.36,1.75,3.2,2.7129319932501077,1
P Negi,16.59,126.3,6.72,0.38,13.14,2.5,8.57,1.8,2.227105745132009,4
P Parameswaran,1.0,50.0,0.0,0.0,0.0,0.26,0.0,0.5,0.5,0
P Ray Barman,19.0,79.17,12.0,0.18,24.0,5.7,0.0,19.0,0.0,19
P Sahu,19.0,146.15,6.5,0.5,0.0,4.98,0.0,9.5,8.5,1
P Simran Singh,27.1,152.76,4.18,0.6,17.74,19.58,32.69,18.2,8.158431221748456,26
PA Patel,23.54,120.78,5.7,0.42,19.49,25.82,27.21,28.6,20.75186738585229,0
PA Reddy,16.4,102.5,9.41,0.26,16.0,8.66,10.0,8.2,6.675327707311455,7
PBB Rajapaksa,23.08,145.03,5.16,0.53,15.92,14.98,38.46,15.0,18.93145530591877,0
PC Valthaty,22.95,120.81,5.16,0.38,19.0,5.08,21.74,4.4,2.939387691339814,6
PD Collingwood,50.75,130.13,7.09,0.39,39.0,27.56,42.86,26.8,30.524744061171095,51
PD Salt,34.06,175.71,3.38,0.81,19.39,40.76,47.06,38.0,17.84376641855637,16
PHKD Mendis,23.0,133.33,7.67,0.41,17.25,20.6,40.0,18.4,14.732277488562318,32
PJ Cummins,21.1,152.24,5.03,0.52,13.86,13.58,14.58,12.6,7.552483035399683,13
PK Garg,15.17,113.28,9.64,0.28,13.39,18.62,10.53,19.4,14.022838514366484,10
PJ Sangwan,3.71,59.09,44.0,0.04,6.29,0.92,0.0,0.8,0.7483314773547883,2
PM Sarvesh Kumar,1.0,50.0,0.0,0.0,0.0,0.3,0.0,1.0,0.0,1
PN Mankad,32.33,132.88,4.87,0.5,24.33,19.74,20.0,19.4,24.146221236458512,3
PP Chawla,11.77,110.83,7.41,0.31,10.62,3.1,0.0,3.0,3.63318042491699,1
PP Ojha,1.78,35.56,0.0,0.0,5.0,1.22,0.0,1.0,0.6324555320336759,1
PR Shah,11.5,101.1,8.27,0.25,11.38,12.4,0.0,11.6,9.58331884056875,5
PP Shaw,24.89,147.47,4.29,0.62,16.88,16.02,31.65,15.8,8.611620056644394,13
PSP Handscomb,6.0,50.0,0.0,0.0,12.0,1.8,0.0,6.0,0.0,6
PV Tambe,18.0,46.15,39.0,0.04,39.0,3.62,0.0,3.0,2.0976176963403033,7
PVD Chameera,17.67,126.19,7.0,0.38,14.0,4.9,0.0,4.2,4.48998886412873,8
PVSN Raju,1.0,100.0,0.0,0.0,0.0,0.3,0.0,1.0,0.0,1
PWA Mulder,9.0,81.82,11.0,0.2,11.0,2.7,0.0,9.0,0.0,9
PWH de Silva,5.4,92.05,11.0,0.2,5.87,1.5,0.0,1.8,1.8330302779823362,0
Pankaj Singh,3.5,58.33,0.0,0.0,6.0,1.3,0.0,1.4,1.3564659966250538,1
Parvez Rasool,8.5,85.0,20.0,0.14,10.0,4.58,0.0,4.25,3.491060010942235,10
